year_from,year_to,sector,unit,points_from,points_to,from_to_mean,from_to_median,from_to_p95,from_to_max,to_from_mean,to_from_median,to_from_p95,to_from_max,symmetric_mean,path_from,path_to
2013,2015,output_1,map_units,2000,2000,3.463,2.860,8.726,11.741,30.643,11.504,118.655,158.682,17.053,data\coastline\processed_orthophoto\2013\output_1_coastline_mask.png,data\coastline\processed_orthophoto\2015\output_1_coastline_mask.png
2015,2019,output_1,map_units,2000,2000,9.915,7.000,29.155,48.559,3.436,2.505,10.525,20.053,6.675,data\coastline\processed_orthophoto\2015\output_1_coastline_mask.png,data\coastline\processed_orthophoto\2019\output_1_coastline_mask.png
2019,2025,output_1,map_units,2000,2000,6.501,3.193,18.700,139.509,4.609,1.663,18.078,30.132,5.555,data\coastline\processed_orthophoto\2019\output_1_coastline_mask.png,data\coastline\processed_orthophoto\2025\output_1_coastline_mask.png
2025,2026,output_1,map_units,2000,2000,6.274,2.767,24.290,33.056,4.750,1.683,19.212,30.973,5.512,data\coastline\processed_orthophoto\2025\output_1_coastline_mask.png,data\coastline\processed_orthophoto\2026\output_1_coastline_mask.png
2013,2015,output_2,map_units,2000,2000,9.606,8.508,24.770,34.534,27.193,19.883,79.864,134.751,18.399,data\coastline\processed_orthophoto\2013\output_2_coastline_mask.png,data\coastline\processed_orthophoto\2015\output_2_coastline_mask.png
2015,2019,output_2,map_units,2000,2000,8.586,5.431,28.030,78.423,5.931,4.176,16.169,24.377,7.258,data\coastline\processed_orthophoto\2015\output_2_coastline_mask.png,data\coastline\processed_orthophoto\2019\output_2_coastline_mask.png
2019,2025,output_2,map_units,2000,2000,20.676,7.311,87.569,125.163,2.875,2.139,7.376,12.608,11.776,data\coastline\processed_orthophoto\2019\output_2_coastline_mask.png,data\coastline\processed_orthophoto\2025\output_2_coastline_mask.png
2025,2026,output_2,map_units,2000,2000,4.499,3.361,13.307,18.616,4.466,2.746,15.763,21.669,4.483,data\coastline\processed_orthophoto\2025\output_2_coastline_mask.png,data\coastline\processed_orthophoto\2026\output_2_coastline_mask.png
2013,2015,output_3,map_units,2000,2000,1.718,1.162,5.980,11.337,38.426,18.203,123.735,152.583,20.072,data\coastline\processed_orthophoto\2013\output_3_coastline_mask.png,data\coastline\processed_orthophoto\2015\output_3_coastline_mask.png
2015,2019,output_3,map_units,2000,2000,16.255,8.380,51.033,92.819,2.852,1.488,9.266,59.062,9.553,data\coastline\processed_orthophoto\2015\output_3_coastline_mask.png,data\coastline\processed_orthophoto\2019\output_3_coastline_mask.png
2019,2025,output_3,map_units,2000,2000,3.395,1.893,5.786,98.038,1.580,1.495,4.133,5.664,2.487,data\coastline\processed_orthophoto\2019\output_3_coastline_mask.png,data\coastline\processed_orthophoto\2025\output_3_coastline_mask.png
2025,2026,output_3,map_units,2000,2000,1.561,0.665,4.844,8.437,1.612,0.758,4.928,9.075,1.586,data\coastline\processed_orthophoto\2025\output_3_coastline_mask.png,data\coastline\processed_orthophoto\2026\output_3_coastline_mask.png
2013,2015,output_4,map_units,2000,2000,1.647,0.707,5.007,7.815,11.031,2.456,52.724,106.876,6.339,data\coastline\processed_orthophoto\2013\output_4_coastline_mask.png,data\coastline\processed_orthophoto\2015\output_4_coastline_mask.png
2015,2019,output_4,map_units,2000,2000,6.556,2.091,33.664,73.561,6.683,1.409,41.305,107.917,6.619,data\coastline\processed_orthophoto\2015\output_4_coastline_mask.png,data\coastline\processed_orthophoto\2019\output_4_coastline_mask.png
2019,2025,output_4,map_units,2000,2000,12.195,2.319,111.315,213.522,1.718,1.703,4.332,7.292,6.957,data\coastline\processed_orthophoto\2019\output_4_coastline_mask.png,data\coastline\processed_orthophoto\2025\output_4_coastline_mask.png
2025,2026,output_4,map_units,2000,2000,1.810,1.137,5.478,7.427,2.020,1.280,6.011,7.571,1.915,data\coastline\processed_orthophoto\2025\output_4_coastline_mask.png,data\coastline\processed_orthophoto\2026\output_4_coastline_mask.png
2013,2015,output_5,map_units,2000,2000,0.873,0.599,2.619,4.193,62.749,10.701,196.377,236.944,31.811,data\coastline\processed_orthophoto\2013\output_5_coastline_mask.png,data\coastline\processed_orthophoto\2015\output_5_coastline_mask.png
2015,2019,output_5,map_units,2000,2000,12.311,4.257,46.691,75.911,12.959,3.202,63.778,84.176,12.635,data\coastline\processed_orthophoto\2015\output_5_coastline_mask.png,data\coastline\processed_orthophoto\2019\output_5_coastline_mask.png
2019,2025,output_5,map_units,2000,2000,25.955,12.262,83.436,220.271,2.538,0.763,10.949,42.439,14.247,data\coastline\processed_orthophoto\2019\output_5_coastline_mask.png,data\coastline\processed_orthophoto\2025\output_5_coastline_mask.png
2025,2026,output_5,map_units,2000,2000,1.562,1.287,4.350,5.689,1.673,1.646,4.502,5.990,1.618,data\coastline\processed_orthophoto\2025\output_5_coastline_mask.png,data\coastline\processed_orthophoto\2026\output_5_coastline_mask.png
2013,2015,output_6,map_units,2000,2000,1.434,0.828,4.511,6.734,9.332,2.239,32.699,224.350,5.383,data\coastline\processed_orthophoto\2013\output_6_coastline_mask.png,data\coastline\processed_orthophoto\2015\output_6_coastline_mask.png
2015,2019,output_6,map_units,2000,2000,17.632,3.163,77.673,163.397,19.252,17.833,48.576,55.112,18.442,data\coastline\processed_orthophoto\2015\output_6_coastline_mask.png,data\coastline\processed_orthophoto\2019\output_6_coastline_mask.png
2019,2025,output_6,map_units,2000,2000,26.745,25.787,69.871,87.104,14.922,1.615,72.563,83.656,20.833,data\coastline\processed_orthophoto\2019\output_6_coastline_mask.png,data\coastline\processed_orthophoto\2025\output_6_coastline_mask.png
2025,2026,output_6,map_units,2000,2000,6.541,2.281,20.927,32.597,13.225,11.661,40.750,49.270,9.883,data\coastline\processed_orthophoto\2025\output_6_coastline_mask.png,data\coastline\processed_orthophoto\2026\output_6_coastline_mask.png
