sector,year_from,year_to,water_area_from_m2,water_area_to_m2,delta_water_area_m2,interpretation
output_1,2013,2015,80272.8,74039.6,-6233.2,avancee_terre_probable
output_1,2015,2019,74039.6,67909.7,-6129.8,avancee_terre_probable
output_1,2019,2025,67909.7,69550.2,1640.5,recul_terre_probable
output_1,2025,2026,69550.2,64811.4,-4738.8,avancee_terre_probable
output_2,2013,2015,105639.9,91170.8,-14469.1,avancee_terre_probable
output_2,2015,2019,91170.8,98068.9,6898.1,recul_terre_probable
output_2,2019,2025,98068.9,98567.4,498.5,recul_terre_probable
output_2,2025,2026,98567.4,93242.9,-5324.5,avancee_terre_probable
output_3,2013,2015,63222.4,61760.4,-1462.0,avancee_terre_probable
output_3,2015,2019,61760.4,62773.9,1013.5,recul_terre_probable
output_3,2019,2025,62773.9,63685.9,912.0,recul_terre_probable
output_3,2025,2026,63685.9,62942.4,-743.4,avancee_terre_probable
output_4,2013,2015,96139.4,95056.0,-1083.4,avancee_terre_probable
output_4,2015,2019,95056.0,95197.9,141.9,recul_terre_probable
output_4,2019,2025,95197.9,96494.6,1296.8,recul_terre_probable
output_4,2025,2026,96494.6,95233.1,-1261.5,avancee_terre_probable
output_5,2013,2015,99348.0,99059.8,-288.2,avancee_terre_probable
output_5,2015,2019,99059.8,97034.1,-2025.7,avancee_terre_probable
output_5,2019,2025,97034.1,99945.7,2911.6,recul_terre_probable
output_5,2025,2026,99945.7,98841.6,-1104.1,avancee_terre_probable
output_6,2013,2015,93760.1,92744.4,-1015.7,avancee_terre_probable
output_6,2015,2019,92744.4,86871.4,-5873.0,avancee_terre_probable
output_6,2019,2025,86871.4,94279.7,7408.3,recul_terre_probable
output_6,2025,2026,94279.7,88563.7,-5716.0,avancee_terre_probable
