source_id,site,secteur,annee,modalite,path_image,path_world,crs,resolution_m,largeur_px,hauteur_px,source_donnee,commentaire
olbia_output_1_2013_rgb,olbia,output_1,2013,rgb,data/coastline/orthophoto/2013/output_1.png,data/coastline/orthophoto/2013/output_1.pgw,,0.150526835360,3507,2480,orthophoto,
olbia_output_2_2013_rgb,olbia,output_2,2013,rgb,data/coastline/orthophoto/2013/output_2.png,data/coastline/orthophoto/2013/output_2.pgw,,0.149939986099,3507,2480,orthophoto,
olbia_output_3_2013_rgb,olbia,output_3,2013,rgb,data/coastline/orthophoto/2013/output_3.png,data/coastline/orthophoto/2013/output_3.pgw,,0.148766287578,3507,2480,orthophoto,
olbia_output_4_2013_rgb,olbia,output_4,2013,rgb,data/coastline/orthophoto/2013/output_4.png,data/coastline/orthophoto/2013/output_4.pgw,,0.149353136838,3507,2480,orthophoto,
olbia_output_5_2013_rgb,olbia,output_5,2013,rgb,data/coastline/orthophoto/2013/output_5.png,data/coastline/orthophoto/2013/output_5.pgw,,0.149646561470,3507,2480,orthophoto,
olbia_output_6_2013_rgb,olbia,output_6,2013,rgb,data/coastline/orthophoto/2013/output_6.png,data/coastline/orthophoto/2013/output_6.pgw,,0.149939986099,3507,2480,orthophoto,
olbia_output_1_2015_rgb,olbia,output_1,2015,rgb,data/coastline/orthophoto/2015/output_1.png,data/coastline/orthophoto/2015/output_1.pgw,,0.150526835360,3507,2480,orthophoto,
olbia_output_2_2015_rgb,olbia,output_2,2015,rgb,data/coastline/orthophoto/2015/output_2.png,data/coastline/orthophoto/2015/output_2.pgw,,0.149939986099,3507,2480,orthophoto,
olbia_output_3_2015_rgb,olbia,output_3,2015,rgb,data/coastline/orthophoto/2015/output_3.png,data/coastline/orthophoto/2015/output_3.pgw,,0.148766287578,3507,2480,orthophoto,
olbia_output_4_2015_rgb,olbia,output_4,2015,rgb,data/coastline/orthophoto/2015/output_4.png,data/coastline/orthophoto/2015/output_4.pgw,,0.149353136837,3507,2480,orthophoto,
olbia_output_5_2015_rgb,olbia,output_5,2015,rgb,data/coastline/orthophoto/2015/output_5.png,data/coastline/orthophoto/2015/output_5.pgw,,0.149646561470,3507,2480,orthophoto,
olbia_output_6_2015_rgb,olbia,output_6,2015,rgb,data/coastline/orthophoto/2015/output_6.png,data/coastline/orthophoto/2015/output_6.pgw,,0.149939986099,3507,2480,orthophoto,
olbia_output_1_2019_rgb,olbia,output_1,2019,rgb,data/coastline/orthophoto/2019/output_1.png,data/coastline/orthophoto/2019/output_1.pgw,,0.150526835360,3507,2480,orthophoto,
olbia_output_2_2019_rgb,olbia,output_2,2019,rgb,data/coastline/orthophoto/2019/output_2.png,data/coastline/orthophoto/2019/output_2.pgw,,0.149939986099,3507,2480,orthophoto,
olbia_output_3_2019_rgb,olbia,output_3,2019,rgb,data/coastline/orthophoto/2019/output_3.png,data/coastline/orthophoto/2019/output_3.pgw,,0.148766287578,3507,2480,orthophoto,
