sample_uid,dataset_source,patch_id,site_id,patch_type,label,rgb_path,lidar_path,rgb_width,rgb_height,lidar_width,lidar_height,has_rgb_world_file,has_lidar_world_file,status
exports_qgis:site01_large,exports_qgis,site01_large,site01,large,archeologique,data\exports_qgis\rgb\site01_large.png,data\exports_qgis\lidar\site01_large_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site01_neg02,exports_qgis,site01_neg02,site01,neg,non_archeologique,data\exports_qgis\rgb\site01_neg02.png,data\exports_qgis\lidar\site01_neg02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site01_neg03,exports_qgis,site01_neg03,site01,neg,non_archeologique,data\exports_qgis\rgb\site01_neg03.png,data\exports_qgis\lidar\site01_neg03_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site01_neg04,exports_qgis,site01_neg04,site01,neg,non_archeologique,data\exports_qgis\rgb\site01_neg04.png,data\exports_qgis\lidar\site01_neg04_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site01_neg05,exports_qgis,site01_neg05,site01,neg,non_archeologique,data\exports_qgis\rgb\site01_neg05.png,data\exports_qgis\lidar\site01_neg05_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site01_neg06,exports_qgis,site01_neg06,site01,neg,non_archeologique,data\exports_qgis\rgb\site01_neg06.png,data\exports_qgis\lidar\site01_neg06_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site01_neg07,exports_qgis,site01_neg07,site01,neg,non_archeologique,data\exports_qgis\rgb\site01_neg07.png,data\exports_qgis\lidar\site01_neg07_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site01_patch01,exports_qgis,site01_patch01,site01,patch,archeologique,data\exports_qgis\rgb\site01_patch01.png,data\exports_qgis\lidar\site01_patch01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site01_patch02,exports_qgis,site01_patch02,site01,patch,archeologique,data\exports_qgis\rgb\site01_patch02.png,data\exports_qgis\lidar\site01_patch02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site01_patch03,exports_qgis,site01_patch03,site01,patch,archeologique,data\exports_qgis\rgb\site01_patch03.png,data\exports_qgis\lidar\site01_patch03_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site01_patch04,exports_qgis,site01_patch04,site01,patch,archeologique,data\exports_qgis\rgb\site01_patch04.png,data\exports_qgis\lidar\site01_patch04_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site01_patch05,exports_qgis,site01_patch05,site01,patch,archeologique,data\exports_qgis\rgb\site01_patch05.png,data\exports_qgis\lidar\site01_patch05_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site01_tres_large,exports_qgis,site01_tres_large,site01,tres_large,archeologique,data\exports_qgis\rgb\site01_tres_large.png,data\exports_qgis\lidar\site01_tres_large_lidar.png,3507,2480,3507,2480,True,True,ok
