site_id,usable_total,archeologique_total,non_archeologique_total,patch_count,large_count,negative_count,unusable_count,missing_patch_count,missing_large_count,missing_negative_count,recommendations,source_breakdown,file_issues
site01,20,8,12,6,2,12,0,0,0,0,ok,exports_qgis:12;exports_qgis_auto:8,
site02,19,7,12,5,2,12,0,0,0,0,ok,exports_qgis:12;exports_qgis_auto:7,
site03,18,6,12,4,2,12,0,0,0,0,ok,exports_qgis:10;exports_qgis_auto:8,
site04,21,9,12,7,2,12,0,0,0,0,ok,exports_qgis:13;exports_qgis_auto:8,
site05,20,9,11,7,2,11,0,0,0,0,ok,exports_qgis:12;exports_qgis_auto:8,
site06,18,6,12,4,2,12,0,0,0,0,ok,exports_qgis:10;exports_qgis_auto:8,
site07,18,7,11,5,2,11,0,0,0,0,ok,exports_qgis:10;exports_qgis_auto:8,
site08,18,7,11,5,2,11,0,0,0,0,ok,exports_qgis:10;exports_qgis_auto:8,
site09,18,6,12,5,1,12,0,0,0,0,ok,exports_qgis:10;exports_qgis_auto:8,
site10,18,7,11,5,2,11,0,0,0,0,ok,exports_qgis:10;exports_qgis_auto:8,
site11,20,8,12,6,2,12,0,0,0,0,ok,exports_qgis:12;exports_qgis_auto:8,
site12,25,8,17,6,2,17,0,0,0,0,ok,exports_qgis:17;exports_qgis_auto:8,
site13,21,5,16,3,2,16,0,1,0,0,add_1_archaeological_patch,exports_qgis:13;exports_qgis_auto:8,
site14,21,8,13,6,2,13,0,0,0,0,ok,exports_qgis:13;exports_qgis_auto:8,
site15,17,5,12,4,1,12,2,0,0,0,fix_2_file_issue,exports_qgis:9;exports_qgis_auto:8,site15_neg01=size_mismatch;site15_neg02=size_mismatch
