sample_uid,dataset_source,patch_id,site_id,patch_type,true_label,predicted_label,probability_archeologique,confidence,error_type,rgb_path,lidar_path
exports_qgis:site01_large,exports_qgis,site01_large,site01,large,archeologique,archeologique,0.998743,0.998743,correct,data\exports_qgis\rgb\site01_large.png,data\exports_qgis\lidar\site01_large_lidar.png
exports_qgis:site01_neg02,exports_qgis,site01_neg02,site01,neg,non_archeologique,non_archeologique,0.013161,0.986839,correct,data\exports_qgis\rgb\site01_neg02.png,data\exports_qgis\lidar\site01_neg02_lidar.png
exports_qgis:site01_neg03,exports_qgis,site01_neg03,site01,neg,non_archeologique,archeologique,0.901229,0.901229,false_positive,data\exports_qgis\rgb\site01_neg03.png,data\exports_qgis\lidar\site01_neg03_lidar.png
exports_qgis:site01_neg04,exports_qgis,site01_neg04,site01,neg,non_archeologique,non_archeologique,0.125086,0.874914,correct,data\exports_qgis\rgb\site01_neg04.png,data\exports_qgis\lidar\site01_neg04_lidar.png
exports_qgis:site01_neg05,exports_qgis,site01_neg05,site01,neg,non_archeologique,archeologique,0.819528,0.819528,false_positive,data\exports_qgis\rgb\site01_neg05.png,data\exports_qgis\lidar\site01_neg05_lidar.png
exports_qgis:site01_neg06,exports_qgis,site01_neg06,site01,neg,non_archeologique,non_archeologique,0.000005,0.999995,correct,data\exports_qgis\rgb\site01_neg06.png,data\exports_qgis\lidar\site01_neg06_lidar.png
exports_qgis:site01_neg07,exports_qgis,site01_neg07,site01,neg,non_archeologique,non_archeologique,0.036454,0.963546,correct,data\exports_qgis\rgb\site01_neg07.png,data\exports_qgis\lidar\site01_neg07_lidar.png
exports_qgis:site01_patch01,exports_qgis,site01_patch01,site01,patch,archeologique,non_archeologique,0.151173,0.848827,false_negative,data\exports_qgis\rgb\site01_patch01.png,data\exports_qgis\lidar\site01_patch01_lidar.png
exports_qgis:site01_patch02,exports_qgis,site01_patch02,site01,patch,archeologique,archeologique,0.543675,0.543675,correct,data\exports_qgis\rgb\site01_patch02.png,data\exports_qgis\lidar\site01_patch02_lidar.png
exports_qgis:site01_patch03,exports_qgis,site01_patch03,site01,patch,archeologique,archeologique,0.948341,0.948341,correct,data\exports_qgis\rgb\site01_patch03.png,data\exports_qgis\lidar\site01_patch03_lidar.png
exports_qgis:site01_patch04,exports_qgis,site01_patch04,site01,patch,archeologique,non_archeologique,0.447582,0.552418,false_negative,data\exports_qgis\rgb\site01_patch04.png,data\exports_qgis\lidar\site01_patch04_lidar.png
exports_qgis:site01_patch05,exports_qgis,site01_patch05,site01,patch,archeologique,non_archeologique,0.281680,0.718320,false_negative,data\exports_qgis\rgb\site01_patch05.png,data\exports_qgis\lidar\site01_patch05_lidar.png
exports_qgis:site02_large,exports_qgis,site02_large,site02,large,archeologique,archeologique,0.996326,0.996326,correct,data\exports_qgis\rgb\site02_large.png,data\exports_qgis\lidar\site02_large_lidar.png
exports_qgis:site02_neg01,exports_qgis,site02_neg01,site02,neg,non_archeologique,archeologique,0.997585,0.997585,false_positive,data\exports_qgis\rgb\site02_neg01.png,data\exports_qgis\lidar\site02_neg01_lidar.png
exports_qgis:site02_neg02,exports_qgis,site02_neg02,site02,neg,non_archeologique,archeologique,0.999591,0.999591,false_positive,data\exports_qgis\rgb\site02_neg02.png,data\exports_qgis\lidar\site02_neg02_lidar.png
exports_qgis:site02_neg03,exports_qgis,site02_neg03,site02,neg,non_archeologique,archeologique,0.996949,0.996949,false_positive,data\exports_qgis\rgb\site02_neg03.png,data\exports_qgis\lidar\site02_neg03_lidar.png
exports_qgis:site02_neg04,exports_qgis,site02_neg04,site02,neg,non_archeologique,non_archeologique,0.249606,0.750394,correct,data\exports_qgis\rgb\site02_neg04.png,data\exports_qgis\lidar\site02_neg04_lidar.png
exports_qgis:site02_neg05,exports_qgis,site02_neg05,site02,neg,non_archeologique,archeologique,0.989833,0.989833,false_positive,data\exports_qgis\rgb\site02_neg05.png,data\exports_qgis\lidar\site02_neg05_lidar.png
exports_qgis:site02_neg06,exports_qgis,site02_neg06,site02,neg,non_archeologique,archeologique,0.999221,0.999221,false_positive,data\exports_qgis\rgb\site02_neg06.png,data\exports_qgis\lidar\site02_neg06_lidar.png
exports_qgis:site02_neg07,exports_qgis,site02_neg07,site02,neg,non_archeologique,archeologique,0.805197,0.805197,false_positive,data\exports_qgis\rgb\site02_neg07.png,data\exports_qgis\lidar\site02_neg07_lidar.png
exports_qgis:site02_patch01,exports_qgis,site02_patch01,site02,patch,archeologique,archeologique,0.983727,0.983727,correct,data\exports_qgis\rgb\site02_patch01.png,data\exports_qgis\lidar\site02_patch01_lidar.png
exports_qgis:site02_patch02,exports_qgis,site02_patch02,site02,patch,archeologique,archeologique,0.990131,0.990131,correct,data\exports_qgis\rgb\site02_patch02.png,data\exports_qgis\lidar\site02_patch02_lidar.png
exports_qgis:site02_patch03,exports_qgis,site02_patch03,site02,patch,archeologique,archeologique,0.851739,0.851739,correct,data\exports_qgis\rgb\site02_patch03.png,data\exports_qgis\lidar\site02_patch03_lidar.png
exports_qgis:site02_patch04,exports_qgis,site02_patch04,site02,patch,archeologique,non_archeologique,0.001600,0.998400,false_negative,data\exports_qgis\rgb\site02_patch04.png,data\exports_qgis\lidar\site02_patch04_lidar.png
exports_qgis:site03_large,exports_qgis,site03_large,site03,large,archeologique,non_archeologique,0.001874,0.998126,false_negative,data\exports_qgis\rgb\site03_large.png,data\exports_qgis\lidar\site03_large_lidar.png
