sample_uid,dataset_source,patch_id,site_id,patch_type,true_label,predicted_label,probability_archeologique,confidence,error_type,rgb_path,lidar_path
exports_qgis:site01_large,exports_qgis,site01_large,site01,large,archeologique,archeologique,0.783692,0.783692,correct,data\exports_qgis\rgb\site01_large.png,data\exports_qgis\lidar\site01_large_lidar.png
exports_qgis:site01_neg02,exports_qgis,site01_neg02,site01,neg,non_archeologique,non_archeologique,0.333847,0.666153,correct,data\exports_qgis\rgb\site01_neg02.png,data\exports_qgis\lidar\site01_neg02_lidar.png
exports_qgis:site01_neg03,exports_qgis,site01_neg03,site01,neg,non_archeologique,non_archeologique,0.351185,0.648815,correct,data\exports_qgis\rgb\site01_neg03.png,data\exports_qgis\lidar\site01_neg03_lidar.png
exports_qgis:site01_neg04,exports_qgis,site01_neg04,site01,neg,non_archeologique,non_archeologique,0.369597,0.630403,correct,data\exports_qgis\rgb\site01_neg04.png,data\exports_qgis\lidar\site01_neg04_lidar.png
exports_qgis:site01_neg05,exports_qgis,site01_neg05,site01,neg,non_archeologique,archeologique,0.566720,0.566720,false_positive,data\exports_qgis\rgb\site01_neg05.png,data\exports_qgis\lidar\site01_neg05_lidar.png
exports_qgis:site01_neg06,exports_qgis,site01_neg06,site01,neg,non_archeologique,non_archeologique,0.069742,0.930258,correct,data\exports_qgis\rgb\site01_neg06.png,data\exports_qgis\lidar\site01_neg06_lidar.png
exports_qgis:site01_neg07,exports_qgis,site01_neg07,site01,neg,non_archeologique,non_archeologique,0.141087,0.858913,correct,data\exports_qgis\rgb\site01_neg07.png,data\exports_qgis\lidar\site01_neg07_lidar.png
exports_qgis:site01_patch01,exports_qgis,site01_patch01,site01,patch,archeologique,archeologique,0.541936,0.541936,correct,data\exports_qgis\rgb\site01_patch01.png,data\exports_qgis\lidar\site01_patch01_lidar.png
exports_qgis:site01_patch02,exports_qgis,site01_patch02,site01,patch,archeologique,archeologique,0.679529,0.679529,correct,data\exports_qgis\rgb\site01_patch02.png,data\exports_qgis\lidar\site01_patch02_lidar.png
exports_qgis:site01_patch03,exports_qgis,site01_patch03,site01,patch,archeologique,archeologique,0.503940,0.503940,correct,data\exports_qgis\rgb\site01_patch03.png,data\exports_qgis\lidar\site01_patch03_lidar.png
exports_qgis:site01_patch04,exports_qgis,site01_patch04,site01,patch,archeologique,non_archeologique,0.327283,0.672717,false_negative,data\exports_qgis\rgb\site01_patch04.png,data\exports_qgis\lidar\site01_patch04_lidar.png
exports_qgis:site01_patch05,exports_qgis,site01_patch05,site01,patch,archeologique,archeologique,0.556948,0.556948,correct,data\exports_qgis\rgb\site01_patch05.png,data\exports_qgis\lidar\site01_patch05_lidar.png
exports_qgis:site02_large,exports_qgis,site02_large,site02,large,archeologique,archeologique,0.820934,0.820934,correct,data\exports_qgis\rgb\site02_large.png,data\exports_qgis\lidar\site02_large_lidar.png
exports_qgis:site02_neg01,exports_qgis,site02_neg01,site02,neg,non_archeologique,archeologique,0.898830,0.898830,false_positive,data\exports_qgis\rgb\site02_neg01.png,data\exports_qgis\lidar\site02_neg01_lidar.png
exports_qgis:site02_neg02,exports_qgis,site02_neg02,site02,neg,non_archeologique,archeologique,0.934750,0.934750,false_positive,data\exports_qgis\rgb\site02_neg02.png,data\exports_qgis\lidar\site02_neg02_lidar.png
exports_qgis:site02_neg03,exports_qgis,site02_neg03,site02,neg,non_archeologique,archeologique,0.711112,0.711112,false_positive,data\exports_qgis\rgb\site02_neg03.png,data\exports_qgis\lidar\site02_neg03_lidar.png
exports_qgis:site02_neg04,exports_qgis,site02_neg04,site02,neg,non_archeologique,non_archeologique,0.359870,0.640130,correct,data\exports_qgis\rgb\site02_neg04.png,data\exports_qgis\lidar\site02_neg04_lidar.png
exports_qgis:site02_neg05,exports_qgis,site02_neg05,site02,neg,non_archeologique,archeologique,0.721773,0.721773,false_positive,data\exports_qgis\rgb\site02_neg05.png,data\exports_qgis\lidar\site02_neg05_lidar.png
exports_qgis:site02_neg06,exports_qgis,site02_neg06,site02,neg,non_archeologique,archeologique,0.894733,0.894733,false_positive,data\exports_qgis\rgb\site02_neg06.png,data\exports_qgis\lidar\site02_neg06_lidar.png
exports_qgis:site02_neg07,exports_qgis,site02_neg07,site02,neg,non_archeologique,archeologique,0.490785,0.509215,false_positive,data\exports_qgis\rgb\site02_neg07.png,data\exports_qgis\lidar\site02_neg07_lidar.png
exports_qgis:site02_patch01,exports_qgis,site02_patch01,site02,patch,archeologique,archeologique,0.844712,0.844712,correct,data\exports_qgis\rgb\site02_patch01.png,data\exports_qgis\lidar\site02_patch01_lidar.png
exports_qgis:site02_patch02,exports_qgis,site02_patch02,site02,patch,archeologique,archeologique,0.821960,0.821960,correct,data\exports_qgis\rgb\site02_patch02.png,data\exports_qgis\lidar\site02_patch02_lidar.png
exports_qgis:site02_patch03,exports_qgis,site02_patch03,site02,patch,archeologique,archeologique,0.651886,0.651886,correct,data\exports_qgis\rgb\site02_patch03.png,data\exports_qgis\lidar\site02_patch03_lidar.png
exports_qgis:site02_patch04,exports_qgis,site02_patch04,site02,patch,archeologique,non_archeologique,0.124130,0.875870,false_negative,data\exports_qgis\rgb\site02_patch04.png,data\exports_qgis\lidar\site02_patch04_lidar.png
exports_qgis:site03_large,exports_qgis,site03_large,site03,large,archeologique,non_archeologique,0.017893,0.982107,false_negative,data\exports_qgis\rgb\site03_large.png,data\exports_qgis\lidar\site03_large_lidar.png
exports_qgis:site03_neg01,exports_qgis,site03_neg01,site03,neg,non_archeologique,non_archeologique,0.020865,0.979135,correct,data\exports_qgis\rgb\site03_neg01.png,data\exports_qgis\lidar\site03_neg01_lidar.png
exports_qgis:site03_neg02,exports_qgis,site03_neg02,site03,neg,non_archeologique,non_archeologique,0.022464,0.977536,correct,data\exports_qgis\rgb\site03_neg02.png,data\exports_qgis\lidar\site03_neg02_lidar.png
exports_qgis:site03_neg03,exports_qgis,site03_neg03,site03,neg,non_archeologique,non_archeologique,0.202459,0.797541,correct,data\exports_qgis\rgb\site03_neg03.png,data\exports_qgis\lidar\site03_neg03_lidar.png
exports_qgis:site03_neg04,exports_qgis,site03_neg04,site03,neg,non_archeologique,non_archeologique,0.041874,0.958126,correct,data\exports_qgis\rgb\site03_neg04.png,data\exports_qgis\lidar\site03_neg04_lidar.png
exports_qgis:site03_neg05,exports_qgis,site03_neg05,site03,neg,non_archeologique,non_archeologique,0.049504,0.950496,correct,data\exports_qgis\rgb\site03_neg05.png,data\exports_qgis\lidar\site03_neg05_lidar.png
exports_qgis:site03_neg06,exports_qgis,site03_neg06,site03,neg,non_archeologique,non_archeologique,0.007151,0.992849,correct,data\exports_qgis\rgb\site03_neg06.png,data\exports_qgis\lidar\site03_neg06_lidar.png
exports_qgis:site03_patch01,exports_qgis,site03_patch01,site03,patch,archeologique,archeologique,0.891048,0.891048,correct,data\exports_qgis\rgb\site03_patch01.png,data\exports_qgis\lidar\site03_patch01_lidar.png
exports_qgis:site03_patch03,exports_qgis,site03_patch03,site03,patch,archeologique,archeologique,0.580546,0.580546,correct,data\exports_qgis\rgb\site03_patch03.png,data\exports_qgis\lidar\site03_patch03_lidar.png
exports_qgis:site03_patch04,exports_qgis,site03_patch04,site03,patch,archeologique,non_archeologique,0.041486,0.958514,false_negative,data\exports_qgis\rgb\site03_patch04.png,data\exports_qgis\lidar\site03_patch04_lidar.png
exports_qgis:site04_large,exports_qgis,site04_large,site04,large,archeologique,archeologique,0.745781,0.745781,correct,data\exports_qgis\rgb\site04_large.png,data\exports_qgis\lidar\site04_large_lidar.png
exports_qgis:site04_neg01,exports_qgis,site04_neg01,site04,neg,non_archeologique,non_archeologique,0.318548,0.681452,correct,data\exports_qgis\rgb\site04_neg01.png,data\exports_qgis\lidar\site04_neg01_lidar.png
exports_qgis:site04_neg02,exports_qgis,site04_neg02,site04,neg,non_archeologique,non_archeologique,0.061285,0.938715,correct,data\exports_qgis\rgb\site04_neg02.png,data\exports_qgis\lidar\site04_neg02_lidar.png
exports_qgis:site04_neg03,exports_qgis,site04_neg03,site04,neg,non_archeologique,non_archeologique,0.076582,0.923418,correct,data\exports_qgis\rgb\site04_neg03.png,data\exports_qgis\lidar\site04_neg03_lidar.png
exports_qgis:site04_neg04,exports_qgis,site04_neg04,site04,neg,non_archeologique,non_archeologique,0.199455,0.800545,correct,data\exports_qgis\rgb\site04_neg04.png,data\exports_qgis\lidar\site04_neg04_lidar.png
exports_qgis:site04_neg05,exports_qgis,site04_neg05,site04,neg,non_archeologique,non_archeologique,0.242827,0.757173,correct,data\exports_qgis\rgb\site04_neg05.png,data\exports_qgis\lidar\site04_neg05_lidar.png
exports_qgis:site04_neg06,exports_qgis,site04_neg06,site04,neg,non_archeologique,archeologique,0.537543,0.537543,false_positive,data\exports_qgis\rgb\site04_neg06.png,data\exports_qgis\lidar\site04_neg06_lidar.png
exports_qgis:site04_patch01,exports_qgis,site04_patch01,site04,patch,archeologique,archeologique,0.992520,0.992520,correct,data\exports_qgis\rgb\site04_patch01.png,data\exports_qgis\lidar\site04_patch01_lidar.png
exports_qgis:site04_patch02,exports_qgis,site04_patch02,site04,patch,archeologique,non_archeologique,0.269036,0.730964,false_negative,data\exports_qgis\rgb\site04_patch02.png,data\exports_qgis\lidar\site04_patch02_lidar.png
exports_qgis:site04_patch03,exports_qgis,site04_patch03,site04,patch,archeologique,archeologique,0.825601,0.825601,correct,data\exports_qgis\rgb\site04_patch03.png,data\exports_qgis\lidar\site04_patch03_lidar.png
exports_qgis:site04_patch04,exports_qgis,site04_patch04,site04,patch,archeologique,archeologique,0.573138,0.573138,correct,data\exports_qgis\rgb\site04_patch04.png,data\exports_qgis\lidar\site04_patch04_lidar.png
exports_qgis:site04_patch05,exports_qgis,site04_patch05,site04,patch,archeologique,archeologique,0.674827,0.674827,correct,data\exports_qgis\rgb\site04_patch05.png,data\exports_qgis\lidar\site04_patch05_lidar.png
exports_qgis:site04_patch06,exports_qgis,site04_patch06,site04,patch,archeologique,non_archeologique,0.300750,0.699250,false_negative,data\exports_qgis\rgb\site04_patch06.png,data\exports_qgis\lidar\site04_patch06_lidar.png
exports_qgis:site05_large,exports_qgis,site05_large,site05,large,archeologique,archeologique,0.525426,0.525426,correct,data\exports_qgis\rgb\site05_large.png,data\exports_qgis\lidar\site05_large_lidar.png
exports_qgis:site05_neg01,exports_qgis,site05_neg01,site05,neg,non_archeologique,non_archeologique,0.216784,0.783216,correct,data\exports_qgis\rgb\site05_neg01.png,data\exports_qgis\lidar\site05_neg01_lidar.png
exports_qgis:site05_neg02,exports_qgis,site05_neg02,site05,neg,non_archeologique,non_archeologique,0.238013,0.761987,correct,data\exports_qgis\rgb\site05_neg02.png,data\exports_qgis\lidar\site05_neg02_lidar.png
exports_qgis:site05_neg03,exports_qgis,site05_neg03,site05,neg,non_archeologique,non_archeologique,0.065536,0.934464,correct,data\exports_qgis\rgb\site05_neg03.png,data\exports_qgis\lidar\site05_neg03_lidar.png
