rank,scaler,class_weight,c_value,threshold,accuracy,precision_archeologique,recall_archeologique,f1_archeologique,fold_f1_mean,fold_f1_std,false_negatives,false_positives,true_positives,true_negatives
1,none,none,0.03,0.45,0.8013698630136986,0.7608695652173914,0.660377358490566,0.7070707070707071,0.640198708477077,0.29008937114736527,36,22,70,164
2,none,none,0.1,0.4,0.7876712328767124,0.7115384615384616,0.6981132075471698,0.7047619047619048,0.6481464613817555,0.2772858771380485,32,30,74,156
3,none,balanced,0.03,0.5,0.791095890410959,0.7272727272727273,0.6792452830188679,0.7024390243902439,0.6421389348600279,0.2793540418420301,34,27,72,159
4,none,balanced,0.03,0.55,0.797945205479452,0.7582417582417582,0.6509433962264151,0.700507614213198,0.6357869437711946,0.28595217863461,37,22,69,164
5,none,balanced,0.1,0.45,0.7773972602739726,0.6880733944954128,0.7075471698113207,0.6976744186046512,0.6411587823940764,0.2746598477993931,31,34,75,152
6,none,balanced,0.01,0.5,0.7842465753424658,0.7128712871287128,0.6792452830188679,0.6956521739130435,0.631386354107447,0.2665450473376133,34,29,72,157
7,none,none,0.03,0.4,0.7842465753424658,0.7128712871287128,0.6792452830188679,0.6956521739130435,0.6368801356881854,0.27743662087749765,34,29,72,157
8,none,balanced,0.3,0.45,0.7808219178082192,0.7019230769230769,0.6886792452830188,0.6952380952380952,0.6425240136540445,0.27838187308614537,33,31,73,155
9,none,none,0.03,0.5,0.8047945205479452,0.8024691358024691,0.6132075471698113,0.6951871657754011,0.6187011245834775,0.31087741254603923,41,16,65,170
10,none,none,0.1,0.35,0.773972602739726,0.6818181818181818,0.7075471698113207,0.6944444444444444,0.6386190998543938,0.2733523720090016,31,35,75,151
11,none,none,0.3,0.45,0.7876712328767124,0.7291666666666666,0.660377358490566,0.693069306930693,0.6465106633992083,0.28405932897230496,36,26,70,160
12,none,none,0.3,0.4,0.7808219178082192,0.7058823529411765,0.6792452830188679,0.6923076923076923,0.6393494104794414,0.2778163618149534,34,30,72,156
13,none,balanced,0.1,0.4,0.7705479452054794,0.6756756756756757,0.7075471698113207,0.6912442396313364,0.6367672480025421,0.2760595230314383,31,36,75,150
14,none,balanced,0.3,0.35,0.7636986301369864,0.6581196581196581,0.7264150943396226,0.6905829596412556,0.6309983872336813,0.2743366755229769,29,40,77,146
15,none,balanced,0.3,0.3,0.7602739726027398,0.65,0.7358490566037735,0.6902654867256637,0.6395439266615737,0.2576065377125719,28,42,78,144
16,none,none,0.1,0.45,0.7876712328767124,0.7340425531914894,0.6509433962264151,0.69,0.6386984366396132,0.2807374125986545,37,25,69,161
17,none,balanced,0.1,0.5,0.7808219178082192,0.71,0.6698113207547169,0.6893203883495146,0.6350781262081571,0.28132433145514174,35,29,71,157
18,none,none,0.01,0.4,0.7808219178082192,0.71,0.6698113207547169,0.6893203883495146,0.623305546026639,0.26718957281284483,35,29,71,157
19,none,none,1.0,0.35,0.773972602739726,0.6886792452830188,0.6886792452830188,0.6886792452830188,0.6398256009556319,0.2878952370067455,33,33,73,153
20,none,balanced,0.3,0.4,0.7705479452054794,0.6788990825688074,0.6981132075471698,0.6883720930232559,0.6391271882572191,0.28598416416424477,32,35,74,151
21,none,balanced,1.0,0.35,0.7671232876712328,0.6696428571428571,0.7075471698113207,0.6880733944954128,0.6347332488632798,0.2811090413153148,31,37,75,149
22,none,balanced,3.0,0.3,0.7671232876712328,0.6696428571428571,0.7075471698113207,0.6880733944954128,0.6347332488632798,0.2811090413153148,31,37,75,149
23,standard,balanced,1.0,0.35,0.7636986301369864,0.6608695652173913,0.7169811320754716,0.6877828054298643,0.6684899161800495,0.21904478323401674,30,39,76,147
24,standard,none,3.0,0.3,0.7636986301369864,0.6608695652173913,0.7169811320754716,0.6877828054298643,0.6684899161800495,0.21904478323401674,30,39,76,147
25,standard,none,0.03,0.3,0.726027397260274,0.5866666666666667,0.8301886792452831,0.6875,0.681158557350777,0.15258175814964461,18,62,88,124
26,standard,balanced,1.0,0.3,0.7568493150684932,0.6446280991735537,0.7358490566037735,0.6872246696035242,0.6745100124047492,0.2328071646764621,28,43,78,143
27,standard,balanced,0.3,0.35,0.7534246575342466,0.6370967741935484,0.7452830188679245,0.6869565217391305,0.6759568618515988,0.2273096229945161,27,45,79,141
28,none,balanced,0.1,0.55,0.7876712328767124,0.7391304347826086,0.6415094339622641,0.6868686868686869,0.6334345983107593,0.290432424410592,38,24,68,162
