patch_id,site_id,patch_type,label,rgb_path,lidar_path,rgb_width,rgb_height,lidar_width,lidar_height,has_rgb_world_file,has_lidar_world_file,status
site01_large,site01,large,archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_large.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site01_large.png,3507,2480,3507,2480,True,True,ok
site01_neg02,site01,neg,non_archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_neg02.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site01_neg02.png,3507,2480,3507,2480,True,True,ok
site01_neg03,site01,neg,non_archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_neg03.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site01_neg03.png,3507,2480,3507,2480,True,True,ok
site01_neg04,site01,neg,non_archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_neg04.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site01_neg04.png,3507,2480,3507,2480,True,True,ok
site01_neg05,site01,neg,non_archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_neg05.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site01_neg05.png,3507,2480,3507,2480,True,True,ok
site01_neg06,site01,neg,non_archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_neg06.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site01_neg06.png,3507,2480,3507,2480,True,True,ok
site01_neg07,site01,neg,non_archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_neg07.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site01_neg07.png,3507,2480,3507,2480,True,True,ok
site01_patch01,site01,patch,archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_patch01.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site01_patch01.png,3507,2480,3507,2480,True,True,ok
site01_patch02,site01,patch,archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_patch02.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site01_patch02.png,3507,2480,3507,2480,True,True,ok
site01_patch03,site01,patch,archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_patch03.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site01_patch03.png,3507,2480,3507,2480,True,True,ok
site01_patch04,site01,patch,archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_patch04.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site01_patch04.png,3507,2480,3507,2480,True,True,ok
site01_patch05,site01,patch,archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_patch05.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site01_patch05.png,3507,2480,3507,2480,True,True,ok
site01_tres_large,site01,tres_large,archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_tres_large.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site01_tres_large.png,3507,2480,3507,2480,True,True,ok
site02_large,site02,large,archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_large.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site02_large.png,3507,2480,3507,2480,True,True,ok
site02_neg01,site02,neg,non_archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_neg01.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site02_neg01.png,3507,2480,3507,2480,True,True,ok
site02_neg02,site02,neg,non_archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_neg02.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site02_neg02.png,3507,2480,3507,2480,True,True,ok
site02_neg03,site02,neg,non_archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_neg03.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site02_neg03.png,3507,2480,3507,2480,True,True,ok
site02_neg04,site02,neg,non_archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_neg04.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site02_neg04.png,3507,2480,3507,2480,True,True,ok
site02_neg05,site02,neg,non_archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_neg05.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site02_neg05.png,3507,2480,3507,2480,True,True,ok
site02_neg06,site02,neg,non_archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_neg06.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site02_neg06.png,3507,2480,3507,2480,True,True,ok
site02_neg07,site02,neg,non_archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_neg07.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site02_neg07.png,3507,2480,3507,2480,True,True,ok
site02_patch01,site02,patch,archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_patch01.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site02_patch01.png,3507,2480,3507,2480,True,True,ok
site02_patch02,site02,patch,archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_patch02.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site02_patch02.png,3507,2480,3507,2480,True,True,ok
site02_patch03,site02,patch,archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_patch03.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site02_patch03.png,3507,2480,3507,2480,True,True,ok
site02_patch04,site02,patch,archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_patch04.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site02_patch04.png,3507,2480,3507,2480,True,True,ok
site02_tres_large,site02,tres_large,archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_tres_large.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site02_tres_large.png,3507,2480,3507,2480,True,True,ok
site03_large,site03,large,archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site03_large.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site03_large.png,3507,2480,3507,2480,True,True,ok
site03_neg01,site03,neg,non_archeologique,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site03_neg01.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\lidar\site03_neg01.png,3507,2480,3507,2480,True,True,ok
