patch_id,site_id,patch_type,label,rgb_path,lidar_path,rgb_width,rgb_height,lidar_width,lidar_height,has_rgb_world_file,has_lidar_world_file,status
site01_large,site01,large,archeologique,,data\exports_qgis\lidar\site01_large_lidar.png,,,3507,2480,,True,ok
site01_neg02,site01,neg,non_archeologique,,data\exports_qgis\lidar\site01_neg02_lidar.png,,,3507,2480,,True,ok
site01_neg03,site01,neg,non_archeologique,,data\exports_qgis\lidar\site01_neg03_lidar.png,,,3507,2480,,True,ok
site01_neg04,site01,neg,non_archeologique,,data\exports_qgis\lidar\site01_neg04_lidar.png,,,3507,2480,,True,ok
site01_neg05,site01,neg,non_archeologique,,data\exports_qgis\lidar\site01_neg05_lidar.png,,,3507,2480,,True,ok
site01_neg06,site01,neg,non_archeologique,,data\exports_qgis\lidar\site01_neg06_lidar.png,,,3507,2480,,True,ok
site01_neg07,site01,neg,non_archeologique,,data\exports_qgis\lidar\site01_neg07_lidar.png,,,3507,2480,,True,ok
site01_patch01,site01,patch,archeologique,,data\exports_qgis\lidar\site01_patch01_lidar.png,,,3507,2480,,True,ok
site01_patch02,site01,patch,archeologique,,data\exports_qgis\lidar\site01_patch02_lidar.png,,,3507,2480,,True,ok
site01_patch03,site01,patch,archeologique,,data\exports_qgis\lidar\site01_patch03_lidar.png,,,3507,2480,,True,ok
site01_patch04,site01,patch,archeologique,,data\exports_qgis\lidar\site01_patch04_lidar.png,,,3507,2480,,True,ok
site01_patch05,site01,patch,archeologique,,data\exports_qgis\lidar\site01_patch05_lidar.png,,,3507,2480,,True,ok
site01_tres_large,site01,tres_large,archeologique,,data\exports_qgis\lidar\site01_tres_large_lidar.png,,,3507,2480,,True,ok
site02_large,site02,large,archeologique,,data\exports_qgis\lidar\site02_large_lidar.png,,,3507,2480,,True,ok
site02_neg01,site02,neg,non_archeologique,,data\exports_qgis\lidar\site02_neg01_lidar.png,,,3507,2480,,True,ok
site02_neg02,site02,neg,non_archeologique,,data\exports_qgis\lidar\site02_neg02_lidar.png,,,3507,2480,,True,ok
site02_neg03,site02,neg,non_archeologique,,data\exports_qgis\lidar\site02_neg03_lidar.png,,,3507,2480,,True,ok
site02_neg04,site02,neg,non_archeologique,,data\exports_qgis\lidar\site02_neg04_lidar.png,,,3507,2480,,True,ok
site02_neg05,site02,neg,non_archeologique,,data\exports_qgis\lidar\site02_neg05_lidar.png,,,3507,2480,,True,ok
site02_neg06,site02,neg,non_archeologique,,data\exports_qgis\lidar\site02_neg06_lidar.png,,,3507,2480,,True,ok
site02_neg07,site02,neg,non_archeologique,,data\exports_qgis\lidar\site02_neg07_lidar.png,,,3507,2480,,True,ok
site02_patch01,site02,patch,archeologique,,data\exports_qgis\lidar\site02_patch01_lidar.png,,,3507,2480,,True,ok
site02_patch02,site02,patch,archeologique,,data\exports_qgis\lidar\site02_patch02_lidar.png,,,3507,2480,,True,ok
site02_patch03,site02,patch,archeologique,,data\exports_qgis\lidar\site02_patch03_lidar.png,,,3507,2480,,True,ok
site02_patch04,site02,patch,archeologique,,data\exports_qgis\lidar\site02_patch04_lidar.png,,,3507,2480,,True,ok
site02_tres_large,site02,tres_large,archeologique,,data\exports_qgis\lidar\site02_tres_large_lidar.png,,,3507,2480,,True,ok
site03_large,site03,large,archeologique,,data\exports_qgis\lidar\site03_large_lidar.png,,,3507,2480,,True,ok
site03_neg01,site03,neg,non_archeologique,,data\exports_qgis\lidar\site03_neg01_lidar.png,,,3507,2480,,True,ok
site03_neg02,site03,neg,non_archeologique,,data\exports_qgis\lidar\site03_neg02_lidar.png,,,3507,2480,,True,ok
site03_neg03,site03,neg,non_archeologique,,data\exports_qgis\lidar\site03_neg03_lidar.png,,,3507,2480,,True,ok
site03_neg04,site03,neg,non_archeologique,,data\exports_qgis\lidar\site03_neg04_lidar.png,,,3507,2480,,True,ok
site03_neg05,site03,neg,non_archeologique,,data\exports_qgis\lidar\site03_neg05_lidar.png,,,3507,2480,,True,ok
site03_neg06,site03,neg,non_archeologique,,data\exports_qgis\lidar\site03_neg06_lidar.png,,,3507,2480,,True,ok
site03_patch01,site03,patch,archeologique,,data\exports_qgis\lidar\site03_patch01_lidar.png,,,3507,2480,,True,ok
site03_patch03,site03,patch,archeologique,,data\exports_qgis\lidar\site03_patch03_lidar.png,,,3507,2480,,True,ok
site03_patch04,site03,patch,archeologique,,data\exports_qgis\lidar\site03_patch04_lidar.png,,,3507,2480,,True,ok
site03_tres_large,site03,tres_large,archeologique,,data\exports_qgis\lidar\site03_tres_large_lidar.png,,,3507,2480,,True,ok
site04_large,site04,large,archeologique,,data\exports_qgis\lidar\site04_large_lidar.png,,,3507,2480,,True,ok
site04_neg01,site04,neg,non_archeologique,,data\exports_qgis\lidar\site04_neg01_lidar.png,,,3507,2480,,True,ok
site04_neg02,site04,neg,non_archeologique,,data\exports_qgis\lidar\site04_neg02_lidar.png,,,3507,2480,,True,ok
site04_neg03,site04,neg,non_archeologique,,data\exports_qgis\lidar\site04_neg03_lidar.png,,,3507,2480,,True,ok
site04_neg04,site04,neg,non_archeologique,,data\exports_qgis\lidar\site04_neg04_lidar.png,,,3507,2480,,True,ok
site04_neg05,site04,neg,non_archeologique,,data\exports_qgis\lidar\site04_neg05_lidar.png,,,3507,2480,,True,ok
site04_neg06,site04,neg,non_archeologique,,data\exports_qgis\lidar\site04_neg06_lidar.png,,,3507,2480,,True,ok
site04_patch01,site04,patch,archeologique,,data\exports_qgis\lidar\site04_patch01_lidar.png,,,3507,2480,,True,ok
site04_patch02,site04,patch,archeologique,,data\exports_qgis\lidar\site04_patch02_lidar.png,,,3507,2480,,True,ok
site04_patch03,site04,patch,archeologique,,data\exports_qgis\lidar\site04_patch03_lidar.png,,,3507,2480,,True,ok
site04_patch04,site04,patch,archeologique,,data\exports_qgis\lidar\site04_patch04_lidar.png,,,3507,2480,,True,ok
site04_patch05,site04,patch,archeologique,,data\exports_qgis\lidar\site04_patch05_lidar.png,,,3507,2480,,True,ok
site04_patch06,site04,patch,archeologique,,data\exports_qgis\lidar\site04_patch06_lidar.png,,,3507,2480,,True,ok
site04_tres_large,site04,tres_large,archeologique,,data\exports_qgis\lidar\site04_tres_large_lidar.png,,,3507,2480,,True,ok
site05_large,site05,large,archeologique,,data\exports_qgis\lidar\site05_large_lidar.png,,,3507,2480,,True,ok
site05_neg01,site05,neg,non_archeologique,,data\exports_qgis\lidar\site05_neg01_lidar.png,,,3507,2480,,True,ok
site05_neg02,site05,neg,non_archeologique,,data\exports_qgis\lidar\site05_neg02_lidar.png,,,3507,2480,,True,ok
site05_neg03,site05,neg,non_archeologique,,data\exports_qgis\lidar\site05_neg03_lidar.png,,,3507,2480,,True,ok
site05_neg04,site05,neg,non_archeologique,,data\exports_qgis\lidar\site05_neg04_lidar.png,,,3507,2480,,True,ok
site05_neg05,site05,neg,non_archeologique,,data\exports_qgis\lidar\site05_neg05_lidar.png,,,3507,2480,,True,ok
site05_patch01,site05,patch,archeologique,,data\exports_qgis\lidar\site05_patch01_lidar.png,,,3507,2480,,True,ok
site05_patch02,site05,patch,archeologique,,data\exports_qgis\lidar\site05_patch02_lidar.png,,,3507,2480,,True,ok
site05_patch03,site05,patch,archeologique,,data\exports_qgis\lidar\site05_patch03_lidar.png,,,3507,2480,,True,ok
site05_patch04,site05,patch,archeologique,,data\exports_qgis\lidar\site05_patch04_lidar.png,,,3507,2480,,True,ok
site05_patch05,site05,patch,archeologique,,data\exports_qgis\lidar\site05_patch05_lidar.png,,,3507,2480,,True,ok
site05_patch06,site05,patch,archeologique,,data\exports_qgis\lidar\site05_patch06_lidar.png,,,3507,2480,,True,ok
site05_tres_large,site05,tres_large,archeologique,,data\exports_qgis\lidar\site05_tres_large_lidar.png,,,3507,2480,,True,ok
site06_large,site06,large,archeologique,,data\exports_qgis\lidar\site06_large_lidar.png,,,3507,2480,,True,ok
site06_neg01,site06,neg,non_archeologique,,data\exports_qgis\lidar\site06_neg01_lidar.png,,,3507,2480,,True,ok
site06_neg02,site06,neg,non_archeologique,,data\exports_qgis\lidar\site06_neg02_lidar.png,,,3507,2480,,True,ok
site06_neg03,site06,neg,non_archeologique,,data\exports_qgis\lidar\site06_neg03_lidar.png,,,3507,2480,,True,ok
site06_neg04,site06,neg,non_archeologique,,data\exports_qgis\lidar\site06_neg04_lidar.png,,,3507,2480,,True,ok
site06_neg05,site06,neg,non_archeologique,,data\exports_qgis\lidar\site06_neg05_lidar.png,,,3507,2480,,True,ok
site06_neg06,site06,neg,non_archeologique,,data\exports_qgis\lidar\site06_neg06_lidar.png,,,3507,2480,,True,ok
site06_patch01,site06,patch,archeologique,,data\exports_qgis\lidar\site06_patch01_lidar.png,,,3507,2480,,True,ok
site06_patch02,site06,patch,archeologique,,data\exports_qgis\lidar\site06_patch02_lidar.png,,,3507,2480,,True,ok
site06_patch03,site06,patch,archeologique,,data\exports_qgis\lidar\site06_patch03_lidar.png,,,3507,2480,,True,ok
site06_tres_large,site06,tres_large,archeologique,,data\exports_qgis\lidar\site06_tres_large_lidar.png,,,3507,2480,,True,ok
site07_large,site07,large,archeologique,,data\exports_qgis\lidar\site07_large_lidar.png,,,3507,2480,,True,ok
site07_neg01,site07,neg,non_archeologique,,data\exports_qgis\lidar\site07_neg01_lidar.png,,,3507,2480,,True,ok
site07_neg02,site07,neg,non_archeologique,,data\exports_qgis\lidar\site07_neg02_lidar.png,,,3507,2480,,True,ok
site07_neg03,site07,neg,non_archeologique,,data\exports_qgis\lidar\site07_neg03_lidar.png,,,3507,2480,,True,ok
