patch_id,site_id,patch_type,label,rgb_path,lidar_path,rgb_width,rgb_height,lidar_width,lidar_height,has_rgb_world_file,has_lidar_world_file,status
site01_large,site01,large,archeologique,data\exports_qgis_auto\rgb\site01_large.png,data\exports_qgis_auto\lidar\site01_large_lidar.png,3507,2480,3507,2480,True,True,ok
site01_neg_auto01,site01,neg,non_archeologique,data\exports_qgis_auto\rgb\site01_neg_auto01.png,data\exports_qgis_auto\lidar\site01_neg_auto01_lidar.png,3507,2480,3507,2480,True,True,ok
site01_neg_auto02,site01,neg,non_archeologique,data\exports_qgis_auto\rgb\site01_neg_auto02.png,data\exports_qgis_auto\lidar\site01_neg_auto02_lidar.png,3507,2480,3507,2480,True,True,ok
site01_neg_auto03,site01,neg,non_archeologique,data\exports_qgis_auto\rgb\site01_neg_auto03.png,data\exports_qgis_auto\lidar\site01_neg_auto03_lidar.png,3507,2480,3507,2480,True,True,ok
site01_neg_auto04,site01,neg,non_archeologique,data\exports_qgis_auto\rgb\site01_neg_auto04.png,data\exports_qgis_auto\lidar\site01_neg_auto04_lidar.png,3507,2480,3507,2480,True,True,ok
site01_neg_auto05,site01,neg,non_archeologique,data\exports_qgis_auto\rgb\site01_neg_auto05.png,data\exports_qgis_auto\lidar\site01_neg_auto05_lidar.png,3507,2480,3507,2480,True,True,ok
site01_neg_auto06,site01,neg,non_archeologique,data\exports_qgis_auto\rgb\site01_neg_auto06.png,data\exports_qgis_auto\lidar\site01_neg_auto06_lidar.png,3507,2480,3507,2480,True,True,ok
site01_patch,site01,patch,archeologique,data\exports_qgis_auto\rgb\site01_patch.png,data\exports_qgis_auto\lidar\site01_patch_lidar.png,3507,2480,3507,2480,True,True,ok
site01_tres_large,site01,tres_large,archeologique,data\exports_qgis_auto\rgb\site01_tres_large.png,data\exports_qgis_auto\lidar\site01_tres_large_lidar.png,3507,2480,3507,2480,True,True,ok
site02_large,site02,large,archeologique,data\exports_qgis_auto\rgb\site02_large.png,data\exports_qgis_auto\lidar\site02_large_lidar.png,3507,2480,3507,2480,True,True,ok
site02_neg_auto01,site02,neg,non_archeologique,data\exports_qgis_auto\rgb\site02_neg_auto01.png,data\exports_qgis_auto\lidar\site02_neg_auto01_lidar.png,3507,2480,3507,2480,True,True,ok
site02_neg_auto03,site02,neg,non_archeologique,data\exports_qgis_auto\rgb\site02_neg_auto03.png,data\exports_qgis_auto\lidar\site02_neg_auto03_lidar.png,3507,2480,3507,2480,True,True,ok
site02_neg_auto04,site02,neg,non_archeologique,data\exports_qgis_auto\rgb\site02_neg_auto04.png,data\exports_qgis_auto\lidar\site02_neg_auto04_lidar.png,3507,2480,3507,2480,True,True,ok
site02_neg_auto05,site02,neg,non_archeologique,data\exports_qgis_auto\rgb\site02_neg_auto05.png,data\exports_qgis_auto\lidar\site02_neg_auto05_lidar.png,3507,2480,3507,2480,True,True,ok
site02_neg_auto06,site02,neg,non_archeologique,data\exports_qgis_auto\rgb\site02_neg_auto06.png,data\exports_qgis_auto\lidar\site02_neg_auto06_lidar.png,3507,2480,3507,2480,True,True,ok
site02_patch,site02,patch,archeologique,data\exports_qgis_auto\rgb\site02_patch.png,data\exports_qgis_auto\lidar\site02_patch_lidar.png,3507,2480,3507,2480,True,True,ok
site02_tres_large,site02,tres_large,archeologique,data\exports_qgis_auto\rgb\site02_tres_large.png,data\exports_qgis_auto\lidar\site02_tres_large_lidar.png,3507,2480,3507,2480,True,True,ok
site03_large,site03,large,archeologique,data\exports_qgis_auto\rgb\site03_large.png,data\exports_qgis_auto\lidar\site03_large_lidar.png,3507,2480,3507,2480,True,True,ok
