output_id,source,image_id,patch_type,image_path,output_image,output_label,bbox_area_ratio
exports_qgis_site01_large,exports_qgis,site01_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_large.png,data\yolo_sites\images\all\exports_qgis_site01_large.png,data\yolo_sites\labels\all\exports_qgis_site01_large.txt,0.669703
exports_qgis_site02_large,exports_qgis,site02_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_large.png,data\yolo_sites\images\all\exports_qgis_site02_large.png,data\yolo_sites\labels\all\exports_qgis_site02_large.txt,0.132673
exports_qgis_site02_tres_large,exports_qgis,site02_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_tres_large.png,data\yolo_sites\images\all\exports_qgis_site02_tres_large.png,data\yolo_sites\labels\all\exports_qgis_site02_tres_large.txt,0.041974
exports_qgis_site03_large,exports_qgis,site03_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site03_large.png,data\yolo_sites\images\all\exports_qgis_site03_large.png,data\yolo_sites\labels\all\exports_qgis_site03_large.txt,0.469871
exports_qgis_site03_tres_large,exports_qgis,site03_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site03_tres_large.png,data\yolo_sites\images\all\exports_qgis_site03_tres_large.png,data\yolo_sites\labels\all\exports_qgis_site03_tres_large.txt,0.184426
exports_qgis_site04_large,exports_qgis,site04_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site04_large.png,data\yolo_sites\images\all\exports_qgis_site04_large.png,data\yolo_sites\labels\all\exports_qgis_site04_large.txt,0.501780
exports_qgis_site04_patch03,exports_qgis,site04_patch03,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site04_patch03.png,data\yolo_sites\images\all\exports_qgis_site04_patch03.png,data\yolo_sites\labels\all\exports_qgis_site04_patch03.txt,0.484439
exports_qgis_site04_tres_large,exports_qgis,site04_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site04_tres_large.png,data\yolo_sites\images\all\exports_qgis_site04_tres_large.png,data\yolo_sites\labels\all\exports_qgis_site04_tres_large.txt,0.381787
exports_qgis_site05_large,exports_qgis,site05_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site05_large.png,data\yolo_sites\images\all\exports_qgis_site05_large.png,data\yolo_sites\labels\all\exports_qgis_site05_large.txt,0.605703
exports_qgis_site05_tres_large,exports_qgis,site05_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site05_tres_large.png,data\yolo_sites\images\all\exports_qgis_site05_tres_large.png,data\yolo_sites\labels\all\exports_qgis_site05_tres_large.txt,0.152620
exports_qgis_site06_large,exports_qgis,site06_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site06_large.png,data\yolo_sites\images\all\exports_qgis_site06_large.png,data\yolo_sites\labels\all\exports_qgis_site06_large.txt,0.587726
exports_qgis_site07_large,exports_qgis,site07_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site07_large.png,data\yolo_sites\images\all\exports_qgis_site07_large.png,data\yolo_sites\labels\all\exports_qgis_site07_large.txt,0.422942
exports_qgis_site07_patch03,exports_qgis,site07_patch03,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site07_patch03.png,data\yolo_sites\images\all\exports_qgis_site07_patch03.png,data\yolo_sites\labels\all\exports_qgis_site07_patch03.txt,0.455766
exports_qgis_site08_large,exports_qgis,site08_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site08_large.png,data\yolo_sites\images\all\exports_qgis_site08_large.png,data\yolo_sites\labels\all\exports_qgis_site08_large.txt,0.509858
exports_qgis_site10_large,exports_qgis,site10_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site10_large.png,data\yolo_sites\images\all\exports_qgis_site10_large.png,data\yolo_sites\labels\all\exports_qgis_site10_large.txt,0.512299
exports_qgis_site10_patch04,exports_qgis,site10_patch04,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site10_patch04.png,data\yolo_sites\images\all\exports_qgis_site10_patch04.png,data\yolo_sites\labels\all\exports_qgis_site10_patch04.txt,0.323113
exports_qgis_site11_large,exports_qgis,site11_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site11_large.png,data\yolo_sites\images\all\exports_qgis_site11_large.png,data\yolo_sites\labels\all\exports_qgis_site11_large.txt,0.645249
