split,site_id,output_id,source,image_id,patch_type,image_path,output_image,output_label,split_image,split_label,bbox_area_ratio
test,site01,exports_qgis_site01_large,exports_qgis,site01_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_large.png,data\yolo_sites\images\all\exports_qgis_site01_large.png,data\yolo_sites\labels\all\exports_qgis_site01_large.txt,data\yolo_sites\images\test\exports_qgis_site01_large.png,data\yolo_sites\labels\test\exports_qgis_site01_large.txt,0.669703
test,site02,exports_qgis_site02_large,exports_qgis,site02_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_large.png,data\yolo_sites\images\all\exports_qgis_site02_large.png,data\yolo_sites\labels\all\exports_qgis_site02_large.txt,data\yolo_sites\images\test\exports_qgis_site02_large.png,data\yolo_sites\labels\test\exports_qgis_site02_large.txt,0.132673
test,site02,exports_qgis_site02_tres_large,exports_qgis,site02_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_tres_large.png,data\yolo_sites\images\all\exports_qgis_site02_tres_large.png,data\yolo_sites\labels\all\exports_qgis_site02_tres_large.txt,data\yolo_sites\images\test\exports_qgis_site02_tres_large.png,data\yolo_sites\labels\test\exports_qgis_site02_tres_large.txt,0.041974
test,site02,exports_qgis_auto_site02_patch,exports_qgis_auto,site02_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site02_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site02_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site02_patch.txt,data\yolo_sites\images\test\exports_qgis_auto_site02_patch.png,data\yolo_sites\labels\test\exports_qgis_auto_site02_patch.txt,0.184510
test,site02,exports_qgis_auto_site02_tres_large,exports_qgis_auto,site02_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site02_tres_large.png,data\yolo_sites\images\all\exports_qgis_auto_site02_tres_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site02_tres_large.txt,data\yolo_sites\images\test\exports_qgis_auto_site02_tres_large.png,data\yolo_sites\labels\test\exports_qgis_auto_site02_tres_large.txt,0.124687
train,site03,exports_qgis_site03_large,exports_qgis,site03_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site03_large.png,data\yolo_sites\images\all\exports_qgis_site03_large.png,data\yolo_sites\labels\all\exports_qgis_site03_large.txt,data\yolo_sites\images\train\exports_qgis_site03_large.png,data\yolo_sites\labels\train\exports_qgis_site03_large.txt,0.469871
train,site03,exports_qgis_site03_tres_large,exports_qgis,site03_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site03_tres_large.png,data\yolo_sites\images\all\exports_qgis_site03_tres_large.png,data\yolo_sites\labels\all\exports_qgis_site03_tres_large.txt,data\yolo_sites\images\train\exports_qgis_site03_tres_large.png,data\yolo_sites\labels\train\exports_qgis_site03_tres_large.txt,0.184426
train,site03,exports_qgis_auto_site03_large,exports_qgis_auto,site03_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site03_large.png,data\yolo_sites\images\all\exports_qgis_auto_site03_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site03_large.txt,data\yolo_sites\images\train\exports_qgis_auto_site03_large.png,data\yolo_sites\labels\train\exports_qgis_auto_site03_large.txt,0.301188
train,site03,exports_qgis_auto_site03_patch,exports_qgis_auto,site03_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site03_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site03_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site03_patch.txt,data\yolo_sites\images\train\exports_qgis_auto_site03_patch.png,data\yolo_sites\labels\train\exports_qgis_auto_site03_patch.txt,0.474989
train,site03,exports_qgis_auto_site03_tres_large,exports_qgis_auto,site03_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site03_tres_large.png,data\yolo_sites\images\all\exports_qgis_auto_site03_tres_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site03_tres_large.txt,data\yolo_sites\images\train\exports_qgis_auto_site03_tres_large.png,data\yolo_sites\labels\train\exports_qgis_auto_site03_tres_large.txt,0.592473
train,site04,exports_qgis_site04_large,exports_qgis,site04_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site04_large.png,data\yolo_sites\images\all\exports_qgis_site04_large.png,data\yolo_sites\labels\all\exports_qgis_site04_large.txt,data\yolo_sites\images\train\exports_qgis_site04_large.png,data\yolo_sites\labels\train\exports_qgis_site04_large.txt,0.501780
train,site04,exports_qgis_site04_patch03,exports_qgis,site04_patch03,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site04_patch03.png,data\yolo_sites\images\all\exports_qgis_site04_patch03.png,data\yolo_sites\labels\all\exports_qgis_site04_patch03.txt,data\yolo_sites\images\train\exports_qgis_site04_patch03.png,data\yolo_sites\labels\train\exports_qgis_site04_patch03.txt,0.484439
